DESCRICAO;LABEL
ERRO ROTULO GERADO PELO PICKING PERDEU VINCULO RESERVA COM O PEDIDO;ERRO
ERRO AI CONFIRMAR PEDIDO NO B2B;ERRO
IVENDRE ERRO DE CONEXAO;ERRO
TICKET 168949 ERRO AO TENTAR MARCAR NO CADASTRO DA PESSOA A FLAG CLIENTE;ERRO
ERRO CADASTRO DE PESSOAS JURIDICA;ERRO
SPED E SEUS ERROS;ERRO
ERRO NO CONT50;ERRO
ERRO SPED;ERRO
TICKET 215101 ERRO NA GERACAO DO ARQUIVO SPED CONTRIBUICOES;ERRO
ERRO SPED FISCAL;ERRO
NAO PERMITE CONFIRMAR A NOTA DE ENTRADA DEVIDO A ERRO NO CAMPO DUPLICATA;ERRO
ERRO PARA DAR BAIXA;ERRO
ERRO AO BAIXAR LOTE DO SISTEMA;ERRO
PEDI44 ERRO AO LIBERAR FATURAMENTO DE CLIENTE COM LIBERACAO COMERCIAL BLOQUEADA;ERRO
ERRO LIBERACAO FATURAMENTO DOMITILA;ERRO
ERRO AO TENTAR LIBERAR PEDIDOS COM MOEDA DOLAR EURO;ERRO
TICKET 208252 KUNDEN ERRO LIBERACAO DE PEDIDO SISTEMA RETORNA ROTULO JA FOI LIBERADO POR OUTRO USUARIO RA;ERRO
ERRO AO CONFIRMAR NOTA NO FATU3;ERRO
ERRO AO LANCAR DESCONTO EM NOTA FISCAL DE ENTRADA;ERRO
FATU3 ERRO AO CONFIRMAR NOTAS FISCAIS DE ENTRADA NA BASE DE TESTES;ERRO
ERRO AO CONFIRMAR NOTA DE ENTRADA;ERRO
DUVIDA SOBRE O CAMPO CONTA ORCAMENTARIA NO CPAG5;DUVIDA
DUVIDAS NO PLANO DE MATERIAIS;DUVIDA
DUVIDA PRODUTO_ATM;DUVIDA
TICKET 184319 DUVIDA DEMONSTRATIVO FINANCEIRO DE COMISSOES;DUVIDA
DUVIDA EMPRESTIMO;DUVIDA
DUVIDAS;DUVIDA
DUVIDA SOBRE ERRO;DUVIDA
DUVIDA COPIA NOTA FISCAL;DUVIDA
TICKET 182398 DUVIDA NAO LOCALIZADO COLUNA COM A CHAVE PIX DO FORNECEDOR NO RELATORIO DO PROGRAMA CPAG7;DUVIDA
TICKET 177222 KUNDEN DUVIDA LANCAMENTOS ESTOQUE;DUVIDA
DUVIDA SOBRE CADASTRO DE CLIENTE;DUVIDA
DUVIDA SOBRE NF;DUVIDA
ESOCIAL DUVIDA;DUVIDA
DUVIDAS RAPIDAS;DUVIDA
DUVIDA QUITACOES;DUVIDA
DUVIDA JOB IMPORTACAO NOTFIS EDI;DUVIDA
TITULO DA MINHA DUVIDA TEXTO EM NEGRITO TEXTO EM ITALICO;DUVIDA
DUVIDA NA GERACAO DE NECESSIDADE SOBRE OF PRODUZIDA;DUVIDA
DUVIDA SOBRE O ROT;DUVIDA
DUVIDA REF AO CAMPO VIGENCIA NAO CONSIGO DELETAR;DUVIDA
DUVIDA EM QTDS DE ABASTECIMENTO;DUVIDA
DUVIDA NO TITULO GERADO CONTAS A RECEBER;DUVIDA
DUVIDA ROYALITES;DUVIDA
DUVIDA RELATORIOS PUBLHISER;DUVIDA
DUVIDAS MODELO FICHA TECNICA;DUVIDA
PIS COFINS DEVOLUCAO DUVIDA;DUVIDA
DUVIDA SOBRE FATURAMENTO CODIGOS PRODUTOS SAO OS DO CLIENTE;DUVIDA
DUVIDA SOBRE IMPRESSOES;DUVIDA
DUVIDA SOBRE MDFE;DUVIDA
DUVIDA INFORMACAO VEND31;DUVIDA
DUVIDAS JUROS MULTA;DUVIDA
DUVIDAS CADASTRO CLIENTE E BAIXA DE SOLICITACAO;DUVIDA
DUVIDA CLASSE DE RISCO;DUVIDA
DUVIDA CONTABILIZACAO;DUVIDA
DUVIDA ESTORNO;DUVIDA
DUVIDA CONTRILE NF DE SAIDA;DUVIDA
DUVIDA PEDIDO;DUVIDA
DUVIDA PLANO REQUISICAO;DUVIDA
DUVIDA ESTOQUE FUTURO;DUVIDA
DUVIDA RELATORIO CONSUMO MP;DUVIDA
DUVIDAS FRETE CERTO;DUVIDA
DUVIDAS CALCULO RESCISAO IRRF;DUVIDA
DUVIDA;DUVIDA
TICKET 223544 DUVIDA TIPOS DE ARQUIVO NO CPAG41;DUVIDA
DUVIDAS FILIAL;DUVIDA
DUVIDA SOBRE VIEWS;DUVIDA
DUVIDA B22;DUVIDA
DUVIDA APONTAMENTO;DUVIDA
DUVIDA RELATORIO PUBLISHER VERSUS APONTAMENTO VIA PEDI7 OU CFAB1;DUVIDA
PROJETO REVISAO AJUSTES E DUVIDAS;DUVIDA
DUVIDA CARTAO COMPONENTE;DUVIDA
DUVIDA CADASTRO GRUPO CLIENTE LOTE PRODUCAO ESTOQUE;DUVIDA
DUVIDA CADASTRO PRODUTO;DUVIDA
DUVIDA LE DISPONIBILIDADE PARA VENDA;DUVIDA
TICKET 217116 DUVIDA QUANTO A FORMACAO DO SALDO ANTERIOR NO RELATORIO DEMONSTRATIVO DE COMISSOES;DUVIDA
MARTINHO DUVIDAS SOBRE FUNCAO DO MERCADO X LISTA DE PRECOS X PEDIDO VENDA;DUVIDA
DUVIDA CAMPO FABRICANTE;DUVIDA
DUVIDA SOBRE NOTA DE BENEFICIAMENTO;DUVIDA
TICKET 182651 KUNDEN DUVIDA MENSAGEM QUE RETORNA AO NAO IMPORTAR ARQUIVO CONEMB NO PROGRAMA ADMI96;DUVIDA
DUVIDA PARA EMITIR UMA NFE DE DEVOLUCAO;DUVIDA
DUVIDA REQUISICAO INFORMADA;DUVIDA
DUVIDA ENTREGA DE PEDIDOS;DUVIDA
DUVIDA UNIDADE DE MEDIDA;DUVIDA
DUVIDA ESTOQUE MANUTENCAO DE ROTULOS;DUVIDA
DUVIDAS FLUXO DE CAIXA;DUVIDA
DUVIDA PARAMETRIZACAO CFOP NO FATURAMENTO;DUVIDA
DUVIDA NA GERACAO DO FINANCEIRO APOS FATURAR PEDIDO;DUVIDA
DUVIDA SOBRE INTEGRACAO ENTRE PEDI7 E CPAG8;DUVIDA
DUVIDA NA IMPORTACAO DE XML DE ENTRADA;DUVIDA
DUVIDA SOBRE RATEIO CONTABIL;DUVIDA
DUVIDAS NO FECHAMENTO DE ESTOQUE;DUVIDA
DUVIDA RELATORIO DE INVENTARIO;DUVIDA
DUVIDA CODIGO FISCAL PRODUTO;DUVIDA
DUVIDA CONFIGURACAO TRIBUTARIA PIS/COFINS;DUVIDA
DUVIDA NO AGRUPAMENTO DE PEDIDOS NA EXPEDICAO;DUVIDA
DUVIDA APROVACAO WORKFLOW COMPRAS;DUVIDA
TICKET 231004 DUVIDA NO CRITERIO DE BUSCA DO RELATORIO CPAG12;DUVIDA
DUVIDA NO CADASTRO DE TRANSPORTADORA;DUVIDA
DUVIDA SOBRE AGRUPAMENTO DE FATURAS;DUVIDA
DUVIDA PROCESSO DE REPOSICAO AUTOMATICA;DUVIDA
DUVIDAS CONFIGURACAO NCM;DUVIDA
DUVIDA RELATORIO DE MARGEM POR PRODUTO;DUVIDA
DUVIDA PARAMETROS DE CUSTO MEDIO;DUVIDA
DUVIDA NO PROCESSO DE DEVOLUCAO DE VENDA;DUVIDA
DUVIDA NO LANCAMENTO DE CONTAS A PAGAR VIA EDI;DUVIDA
DUVIDA NO CADASTRO DE CENTRO DE CUSTO;DUVIDA
DUVIDA SOBRE MAPEAMENTO DE IMPOSTOS NA NF;DUVIDA
TICKET 228765 DUVIDA NO CALCULO DE DIFAL;DUVIDA
DUVIDA NA GRADE DE PRODUTOS;DUVIDA
DUVIDA AJUSTE DE SALDO ESTOQUE;DUVIDA
DUVIDA SOBRE STATUS DO PEDIDO NA PRODUCAO;DUVIDA
DUVIDA NA EXPORTACAO DE RELATORIO PARA EXCEL;DUVIDA
DUVIDA CADASTRO DE VENDEDOR;DUVIDA
DUVIDA REFERENTE AO DESCONTO AUTOMATICO;DUVIDA
DUVIDA PROCESSO DE TRANSFERENCIA ENTRE FILIAIS;DUVIDA
DUVIDA NO RELATORIO DE CONTROLE DE LOTES;DUVIDA
DUVIDA NO LANCAMENTO DE NOTA COMPLEMENTAR;DUVIDA
DUVIDA CONFIGURACAO PRAZO DE PAGAMENTO;DUVIDA
DUVIDA NA GERACAO DA ORDEM DE PRODUCAO;DUVIDA
DUVIDAS NA TELA DE PEDIDO DE COMPRA;DUVIDA
PAINEL NAO ABRE;ERRO
COMO ABRIR UM PEDIDO;DUVIDA
